id;nombre_estudiante;apellido_estudiante;carrera;dni;legajo;fecha_nacimiento
1;withdrawal primary Fiji;Castilla;Apartamento;Rua increm;Multi I;2023-05-27
2;interactive invoice cross-platform;UIC-Franc de;Dirham best-of-breed País;panel;Interno;2023-05-26
3;Granito Savings;COM;Masía;Account Di;negocio;2023-05-27
4;Pelota hibrida Extendido;end-to-end back-end Práctico;Representante Navarra Mascotas;Cantabria ;parsing;2023-05-27
5;Negro;Helena holística;Guapa compressing;Faso kille;Técnico;2023-05-27
6;Estratega Distrito;arquitectura Algodón;Arquitecto;Auto Admin;ComoroX;2023-05-27
7;transicional Inversor Uzbekistan;Futuro;sistemática Metal;neural use;optical;2023-05-27
8;Relacciones Fantástico;reboot Croacia;objetos;overriding;Salchic;2023-05-27
9;initiatives Inteligente Morado;B2C direccional feed;Vía;up invoice;Canaria;2023-05-27
10;instalación;haptic array;open-source circuito matrix;bluetooth;DollarX;2023-05-27
